steps	avg_reward	std_reward
0	16.92	2.1339165869358623	0.0
1000	9.37	0.783007024234138	0.0
2000	9.41	0.7495998932764065	0.0
3000	9.37	0.7570336848516056	0.0
4000	9.38	0.7180529228406497	0.0
5000	9.3	0.7937253933193773	0.0
6000	9.43	0.7107038764492566	0.0
7000	9.34	0.8151073548925932	0.0
8000	9.32	0.7858753081755401	0.0
9000	9.35	0.7123903424387503	0.0
10000	9.43	0.6819824044651006	0.0
11000	9.38	0.79724525711979	0.0
12000	9.41	0.7084490101623405	0.0
13000	9.49	0.7680494775728969	0.0
14000	9.4	0.7483314773547883	0.0
15000	9.35	0.7921489758877429	0.0
16000	9.37	0.743706931526122	0.0
17000	9.27	0.7463913182774836	0.0
18000	9.34	0.8151073548925932	0.0
19000	9.39	0.6766830868286867	0.0
20000	9.52	0.7547184905645283	0.0
