steps	avg_reward	std_reward	success_rate
0	25.0	5.546169849544819	0.0
1000	66.59	22.96349058832302	0.0
2000	200.0	0.0	1.0
3000	133.78	66.40686410304285	0.45
4000	171.07	35.69656986322355	0.38
5000	165.23	22.920233419404788	0.23
6000	186.1	22.79714894455006	0.63
7000	198.98	3.4956544451647398	0.9
8000	199.97	0.2215851980616034	0.98
9000	200.0	0.0	1.0
10000	200.0	0.0	1.0
11000	200.0	0.0	1.0
12000	200.0	0.0	1.0
13000	200.0	0.0	1.0
14000	200.0	0.0	1.0
15000	200.0	0.0	1.0
16000	198.65	4.416729559300638	0.87
17000	200.0	0.0	1.0
18000	197.83	5.272674842999519	0.83
19000	195.58	8.506679728307631	0.68
20000	200.0	0.0	1.0
