steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-177.48	27.234713143339693	0.57
2000	-200.0	0.0	0.0
3000	-169.85	28.469413411589642	0.95
4000	-171.64	22.059700813927645	0.63
5000	-167.74	33.315347814483346	0.53
6000	-188.98	12.72161939377216	0.43
7000	-152.59	10.991901564333626	1.0
8000	-157.17	47.9159795892769	0.52
9000	-165.86	24.545883565274238	0.66
10000	-162.89	32.21766440945091	0.84
11000	-158.16	23.717807655852173	0.84
12000	-180.22	16.99151552981664	0.58
13000	-132.29	9.720385794812879	0.98
14000	-160.56	9.875545554550392	0.98
15000	-167.29	32.759516174693424	0.5
16000	-155.95	15.57329444915237	1.0
17000	-174.7	18.880413131073166	0.67
18000	-161.19	13.81860702096995	1.0
19000	-120.49	31.475544475036486	0.93
20000	-173.41	22.015492272488483	0.6
